UserId,UserName,Certificate S.No,CA IssuerName,CommonName,Organization,Organization Unit,Email,Valid From,Valid To,Current Status,Registration Time,Groups,Retail Param 1,Retail Param 2,app Param 1,app Param 2,astonApp Param 1,astonApp Param 2,Apptesting Param 1,Apptesting Param 2,creditcard Param 1,creditcard Param 2,new Param 1,new Param 2,Test Param 1,Test Param 2,application Param 1,application Param 2,Certificate, Certificate Flag
1,pacehari,9EA17466DB,Snorkel CA,"","","","ramshan2008@gmail.com",08/07/2013 05:18:59,08/07/2016 10:48:59,Deleted,08/07/2013 05:18:59, Snorkel Default ; Test_SIB ;,qaz,odyssey,,,,,,,,,,,,,,,,True
2,paceharn,FE82246196,Snorkel CA,"","","","ramshan2008@gmail.com",08/07/2013 09:48:46,08/07/2016 15:18:46,Deleted,08/07/2013 09:48:46, Snorkel Default ; Test_SIB ;,asdf,ODYSSEY,,,,,,,,,,,,,,,,True
3,SUDEEP DC,220FFF2AF3,Snorkel CA,"","","","sudeepg@sib.co.in",08/07/2013 10:53:42,08/07/2016 16:23:42,Deleted,08/07/2013 10:53:42, Snorkel Default ; Retail ;,harry,odyssey,,,,,,,,,,,,,,,,True
4,CORP TEST DC,DFC194BE12,Snorkel CA,"","","","sudeepg@sib.co.in",08/07/2013 11:27:19,08/07/2016 16:57:19,Active,08/07/2013 11:27:19, Snorkel Default ; Test_SIB ;,loki,odyssey,,,,,,,,,,,,,,,,True
5,CORP BOBY,7241C9DEA0,Snorkel CA,"","","","sudeepg@sib.co.in",08/07/2013 11:34:09,08/07/2016 17:04:09,Deleted,08/07/2013 11:34:09, Snorkel Default ; Test_SIB ;,black,odyssey,,,,,,,,,,,,,,,,True
6,SUDEEP RETAIL,62C7D36633,Snorkel CA,"","","","sudeepg@sib.co.in",17/07/2013 07:50:31,17/07/2016 13:20:31,Deleted,17/07/2013 07:50:31, Snorkel Default ; Retail ;,MEOW,ODYSSEY,,,,,,,,,,,,,,,,True
7,sudeep,B89A5A26AF,Snorkel CA,"","","","sudeepg@sib.co.in",17/07/2013 10:59:02,17/07/2016 16:29:02,Temp Sms,17/07/2013 10:59:02, Snorkel Default ; Test_SIB ;,VINEETH,ODYSSEY,,,,,,,,,,,,,,,,True
8,SUDEEP CORP,E205BDBE19,Snorkel CA,"","","","sudeepg@sib.co.in",18/07/2013 04:41:46,18/07/2016 10:11:46,Temp Sms,18/07/2013 04:41:46, Snorkel Default ; Test_SIB ;,iphone,odyssey,,,,,,,,,,,,,,,,True
9,paceharn,2833DED1A0,Snorkel CA,"","","","ramshan2008@gmail.com",26/07/2013 08:48:17,26/07/2016 14:18:17,Deleted,26/07/2013 08:48:17, Snorkel Default ; Test_SIB ;,android,odyssey,,,,,,,,,,,,,,,,True
10,paceharn,D4C33BC643,Snorkel CA,"","","","ramshan2008@gmail.com",26/07/2013 09:20:57,26/07/2016 14:50:57,Deleted,26/07/2013 09:20:57, Snorkel Default ; Test_SIB ;,zxcvbnm,odyssey,,,,,,,,,,,,,,,,True
